date,description,amount
2023-10-01,Supermarket Express,-120.50
2023-10-02,Salary Oct,3500.00
2023-10-03,Restaurant La Strada,-45.00
2023-10-04,Netflix,-15.99
2023-10-04,City Train Ticket,-12.00
2023-10-05,Electricity Bill,-85.00
2023-10-06,Amazon Prime,-12.99
2023-10-07,McDonalds,-18.50
2023-10-08,Zara Clothing,-145.00
2023-10-10,Uber Ride,-24.50
2023-10-11,Spotify Premium,-9.99
2023-10-12,Water Utility,-45.00
2023-10-14,Grocery Market,-90.25
2023-10-15,Cafe Beans,-8.50
2023-10-16,Fuel Station,-60.00
2023-10-18,Deliveroo App,-32.00
2023-10-20,H&M Store,-55.00
2023-10-21,Internet Telecom,-50.00
2023-10-22,Uber Eats,-28.00
2023-10-23,Phone Bill,-40.00
2023-10-25,Amazon Shopping,-65.00
2023-10-26,Supermarket Fresh,-110.00
2023-10-27,Parking Garage,-15.00
2023-10-28,Gym Membership,-45.00
2023-10-29,Restaurant Bistro,-85.00
2023-10-30,Apple Subscription,-4.99
2023-10-31,Bus Pass,-30.00
